text,label,value
업무  내용:  고객  상담과  문서  관리,employment.duties,고객 상담과 문서 관리
위약금 조건: 지체일수마다 대금의 0.1%를 지급한다,contract.damages,지체일수마다 대금의 0.1%를 지급한다
휴게시간은 근로 도중 1시간이다.,employment.break_time,근로 도중 1시간
계약  당사자는  갑  주식회사  예시와  을  김고객로  한다.,contract.parties,갑 주식회사 예시와 을 김고객
계약 목적은 온라인 정보 제공 서비스이다.,contract.subject,온라인 정보 제공 서비스
"보증금:  100,000,000원",housing.deposit,"100,000,000원"
본 계약은 상호 신뢰를 바탕으로 성실히 이행한다.,other,
업무 내용 :  소프트웨어 개발,employment.duties,소프트웨어 개발
근로기준법에  따라  부여한다.,employment.annual_leave,근로기준법에 따라 부여한다
근로계약 당사자는 사용자 예시회사와 근로자 김예시이다.,employment.parties,사용자 예시회사와 근로자 김예시
휴식  시간:  오후  3시부터  3시  30분까지,employment.break_time,오후 3시부터 3시 30분까지
오전 9시부터 오후 6시까지 근무한다.,employment.work_hours,오전 9시부터 오후 6시까지
계약 해지는 30일 전 통지로 종료할 수 있다.,contract.termination,30일 전 통지로 종료할 수 있다
특약사항: 입주 전 도배를 완료한다,housing.special_terms,입주 전 도배를 완료한다
해제·해지 조건: 30일 전 통지로 종료할 수 있다,contract.termination,30일 전 통지로 종료할 수 있다
계약  당사자는  갑  주식회사  예시와  을  김고객로  한다.,contract.parties,갑 주식회사 예시와 을 김고객
계약  존속기간:  2026년  7월  1일부터  2028년  6월  30일까지,housing.term,2026년 7월 1일부터 2028년 6월 30일까지
연차  유급휴가는  근로기준법에  따라  부여한다.,employment.annual_leave,근로기준법에 따라 부여한다
갑 주식회사 예시와 을 김고객 사이에 계약을 체결한다.,contract.parties,갑 주식회사 예시와 을 김고객
손해배상은  귀책  당사자가  직접  손해를  배상한다.,contract.damages,귀책 당사자가 직접 손해를 배상한다
사업자 예시회사와 이용자 김예시 사이에 계약을 체결한다.,contract.parties,사업자 예시회사와 이용자 김예시
오전  9시부터  오후  6시까지  근무한다.,employment.work_hours,오전 9시부터 오후 6시까지
서울중앙지방법원을 관할 법원으로 한다.,contract.dispute,서울중앙지방법원을 관할 법원으로 한다
특약으로 입주 전 도배를 완료한다.,housing.special_terms,입주 전 도배를 완료한다
"임차인은 매월 500,000원을 지급한다.",housing.monthly_rent,"매월 500,000원"
임대인은 목적물을 인도받는 즉시 반환한다.,housing.deposit_return,목적물을 인도받는 즉시 반환한다
매월 말일 현금으로 지급한다.,employment.pay_date,매월 말일 현금으로 지급
근로자는 소프트웨어 개발를 수행한다.,employment.duties,소프트웨어 개발
임대차  기간은  2026년  7월  1일부터  2028년  6월  30일까지로  한다.,housing.term,2026년 7월 1일부터 2028년 6월 30일까지
하자 보수: 소모품은 임차인이 교체한다,housing.repairs,소모품은 임차인이 교체한다
유급  휴일:  토요일과  일요일,employment.holidays,토요일과 일요일
주요 설비는 임대인이 수선한다.,housing.repairs,주요 설비는 임대인이 수선한다
연차휴가:  근로기준법에  따라  부여한다,employment.annual_leave,근로기준법에 따라 부여한다
급여  지급일·방법:  매월  25일  근로자  계좌로  지급,employment.pay_date,매월 25일 근로자 계좌로 지급
임대차 기간은 입주일부터 2년로 한다.,housing.term,입주일부터 2년
"시간급 12,000원을 지급한다.",employment.wage,"시간급 12,000원"
소모품은 임차인이 교체한다.,housing.repairs,소모품은 임차인이 교체한다
임대차 기간은 2026년 7월 1일부터 2028년 6월 30일까지로 한다.,housing.term,2026년 7월 1일부터 2028년 6월 30일까지
수선 책임은 주요 설비는 임대인이 수선한다.,housing.repairs,주요 설비는 임대인이 수선한다
급여 지급일·방법 :  매월 말일 현금으로 지급,employment.pay_date,매월 말일 현금으로 지급
1일 8시간 주 40시간 근무한다.,employment.work_hours,1일 8시간 주 40시간
보증금 반환은 퇴거와 동시에 정산하여 지급한다.,housing.deposit_return,퇴거와 동시에 정산하여 지급한다
계약  당사자는  임대인  홍길동과  임차인  김예시이다.,housing.parties,임대인 홍길동과 임차인 김예시
"차임은 매월 500,000원이다.",housing.monthly_rent,"매월 500,000원"
연차휴가 :  연 15일을 부여한다,employment.annual_leave,연 15일을 부여한다
연 15일을 부여한다.,employment.annual_leave,연 15일을 부여한다
계약서 두 부를 작성하여 각각 한 부씩 보관한다.,other,
보증금 반환은 퇴거와 동시에 정산하여 지급한다.,housing.deposit_return,퇴거와 동시에 정산하여 지급한다
"서울특별시  예시구  예시로  100,  101호를  임대  목적물로  한다.",housing.property,"서울특별시 예시구 예시로 100, 101호"
2026년  7월  1일부터  2027년  6월  30일까지  동안  근무한다.,employment.term,2026년 7월 1일부터 2027년 6월 30일까지
공용관리비: 매월 15만원,housing.management_fee,매월 15만원
토요일과  일요일을  휴일로  한다.,employment.holidays,토요일과 일요일
유효 기간: 2026년 7월 1일부터 2027년 6월 30일까지,contract.term,2026년 7월 1일부터 2027년 6월 30일까지
"월세:  매월  말일  600,000원",housing.monthly_rent,"매월 말일 600,000원"
연차 유급휴가는 연 15일을 부여한다.,employment.annual_leave,연 15일을 부여한다
주휴일은  근로자의  날과  법정  공휴일이다.,employment.holidays,근로자의 날과 법정 공휴일
하자 보수: 소모품은 임차인이 교체한다,housing.repairs,소모품은 임차인이 교체한다
계약 해지는 상대방이 의무를 위반하면 서면 통지 후 해지할 수 있다.,contract.termination,상대방이 의무를 위반하면 서면 통지 후 해지할 수 있다
소정근로일: 매주 월·화·수·목·금,employment.work_days,매주 월·화·수·목·금
반려동물  사육은  사전  동의를  받는다는  별도  특약으로  정한다.,housing.special_terms,반려동물 사육은 사전 동의를 받는다
기타 정하지 않은 사항은 상호 협의한다.,other,
근로자는 고객 상담과 문서 관리를 수행한다.,employment.duties,고객 상담과 문서 관리
담당 업무는 매장 판매 업무이다.,employment.duties,매장 판매 업무
임대인  홍길동과  임차인  김예시  사이에  임대차계약을  체결한다.,housing.parties,임대인 홍길동과 임차인 김예시
기타 정하지 않은 사항은 상호 협의한다.,other,
유효  기간:  2026년  7월  1일부터  2027년  6월  30일까지,contract.term,2026년 7월 1일부터 2027년 6월 30일까지
"임차보증금은 1억 5,000만원으로 정한다.",housing.deposit,"1억 5,000만원"
휴게시간은 12시부터 13시까지이다.,employment.break_time,12시부터 13시까지
"시간급 12,000원을 지급한다.",employment.wage,"시간급 12,000원"
임차인이 실비 정산의 관리비를 부담한다.,housing.management_fee,실비 정산
"보증금: 1억 5,000만원",housing.deposit,"1억 5,000만원"
계약 존속기간 :  입주일부터 2년,housing.term,입주일부터 2년
기타 정하지 않은 사항은 상호 협의한다.,other,
"공용관리비 :  월 100,000원",housing.management_fee,"월 100,000원"
분쟁 해결은 상호 협의 후 민사소송으로 해결한다.,contract.dispute,상호 협의 후 민사소송으로 해결한다
해제·해지 조건: 상대방이 의무를 위반하면 서면 통지 후 해지할 수 있다,contract.termination,상대방이 의무를 위반하면 서면 통지 후 해지할 수 있다
사용자 예시회사와 근로자 김예시 사이에 근로계약을 체결한다.,employment.parties,사용자 예시회사와 근로자 김예시
"차임은 매월 500,000원이다.",housing.monthly_rent,"매월 500,000원"
차임은 월 75만원이다.,housing.monthly_rent,월 75만원
급여 지급일·방법: 매월 25일 근로자 계좌로 지급,employment.pay_date,매월 25일 근로자 계좌로 지급
"보증금: 100,000,000원",housing.deposit,"100,000,000원"
차임  지급일은  매월  말일이다.,housing.payment_date,매월 말일
"을에게 총 3,000,000원을 검수 후 지급한다.",contract.payment,"총 3,000,000원을 검수 후 지급"
매주 일요일을 휴일로 한다.,employment.holidays,매주 일요일
기간의 정함이 없음 동안 근무한다.,employment.term,기간의 정함이 없음
근로자는 매장 판매 업무를 수행한다.,employment.duties,매장 판매 업무
분쟁 해결은 상호 협의 후 민사소송으로 해결한다.,contract.dispute,상호 협의 후 민사소송으로 해결한다
상호 협의 후 민사소송으로 해결한다.,contract.dispute,상호 협의 후 민사소송으로 해결한다
주휴일은 근로자의 날과 법정 공휴일이다.,employment.holidays,근로자의 날과 법정 공휴일
임대인은 목적물을 인도받는 즉시 반환한다.,housing.deposit_return,목적물을 인도받는 즉시 반환한다
"서울특별시  예시구  예시로  100,  101호를  임대  목적물로  한다.",housing.property,"서울특별시 예시구 예시로 100, 101호"
계약서 두 부를 작성하여 각각 한 부씩 보관한다.,other,
공용관리비:  매월  15만원,housing.management_fee,매월 15만원
"월 기본급 3,000,000원을 지급한다.",employment.wage,"월 기본급 3,000,000원"
웹사이트 유지보수 용역를 계약 대상으로 한다.,contract.subject,웹사이트 유지보수 용역
계약 기간은 계약 체결일부터 12개월로 한다.,contract.term,계약 체결일부터 12개월
계약 당사자는 임대인 홍길동과 임차인 김예시이다.,housing.parties,임대인 홍길동과 임차인 김예시
본 계약은 상호 신뢰를 바탕으로 성실히 이행한다.,other,
임대인 홍길동과 임차인 김예시 사이에 임대차계약을 체결한다.,housing.parties,임대인 홍길동과 임차인 김예시
"보수 및 지급 조건 :  총 3,000,000원을 검수 후 지급",contract.payment,"총 3,000,000원을 검수 후 지급"
소정근로일:  매주  월·화·수·목·금,employment.work_days,매주 월·화·수·목·금
근무일은 매주 월·화·수·목·금이다.,employment.work_days,매주 월·화·수·목·금
"계약 대금은 월 100,000원을 매월 25일 지급한다.",contract.payment,"월 100,000원을 매월 25일 지급"
취업 장소 :  회사 지정 사업장,employment.workplace,회사 지정 사업장
입주 전 도배를 완료한다는 별도 특약으로 정한다.,housing.special_terms,입주 전 도배를 완료한다
하자 보수: 주요 설비는 임대인이 수선한다,housing.repairs,주요 설비는 임대인이 수선한다
계약 존속기간: 입주일부터 2년,housing.term,입주일부터 2년
연차 유급휴가는 근로기준법에 따라 부여한다.,employment.annual_leave,근로기준법에 따라 부여한다
근로자는  소프트웨어  개발를  수행한다.,employment.duties,소프트웨어 개발
근로계약  기간은  2026년  7월  1일부터  2027년  6월  30일까지이다.,employment.term,2026년 7월 1일부터 2027년 6월 30일까지
기타 정하지 않은 사항은 상호 협의한다.,other,
"임금은 연봉 40,000,000원이다.",employment.wage,"연봉 40,000,000원"
당사자는 개인정보를 안전하게 관리한다.,other,
고용 기간: 2026년 7월 1일부터 2027년 6월 30일까지,employment.term,2026년 7월 1일부터 2027년 6월 30일까지
재판 관할 :  상호 협의 후 민사소송으로 해결한다,contract.dispute,상호 협의 후 민사소송으로 해결한다
"월세 :  매월 500,000원",housing.monthly_rent,"매월 500,000원"
